"40050","638 CALIFORNIA AVENUE, CAMDEN, AR, 71701","Match","Non_Exact","638 CALIFORNIA AVE SW, CAMDEN, AR, 71701","-92.83395,33.576855","11070872","L"
"110128","ONE MEADOWS PARKWAY, VIDALIA, GA, 30474","No_Match"
"40041","1808 WEST MAIN STREET, RUSSELLVILLE, AR, 72801","Match","Exact","1808 W MAIN ST, RUSSELLVILLE, AR, 72801","-93.15002,35.282898","81880793","R"
"110125","200 INDUSTRIAL BOULEVARD, DUBLIN, GA, 31021","Match","Exact","200 INDUSTRIAL BLVD, DUBLIN, GA, 31021","-82.95742,32.54041","606862936","R"
"40047","2801 MEDICAL CENTER DRIVE, POCAHONTAS, AR, 72455","Match","Exact","2801 MEDICAL CENTER DR, POCAHONTAS, AR, 72455","-90.99642,36.29057","639348944","L"
"110124","865 SOUTH FIRST STREET, JESUP, GA, 31545","Match","Exact","865 S 1ST ST, JESUP, GA, 31545","-81.890175,31.602911","4841382","R"
"110121","1155 5TH STREET, SE, CAIRO, GA, 39828","Tie"
"110122","2501 NORTH PATTERSON STREET, PO BOX 1727, VALDOSTA, GA, 31603","No_Match"
"270032","30 13TH ST, HAVRE, MT, 59501","Match","Exact","30 13TH ST, HAVRE, MT, 59501","-109.68705,48.53934","162155454","R"
"500027","747 BROADWAY, SEATTLE, WA, 98122","Match","Non_Exact","747 BROADWAY AVE, SEATTLE, WA, 98122","-122.32077,47.60864","186590043","L"
"110129","2122 MANCHESTER EXPRESSWAY, COLUMBUS, GA, 31995","No_Match"
"190274","180 WEST ESPLANADE AVENUE, KENNER, LA, 70065","Match","Exact","180 W ESPLANADE AVE, KENNER, LA, 70065","-90.27872,30.02361","93547042","R"
"500033","801 EAST WHEELER ROAD, MOSES LAKE, WA, 98837","Match","Exact","801 E WHEELER RD, MOSES LAKE, WA, 98837","-119.26463,47.13109","157090149","R"
"500031","915 ANDERSON DRIVE, ABERDEEN, WA, 98520","Match","Exact","915 ANDERSON DR, ABERDEEN, WA, 98520","-123.84622,46.979023","180583388","R"
"500030","2901 SQUALICUM PARKWAY, BELLINGHAM, WA, 98225","Match","Exact","2901 SQUALICUM PKWY, BELLINGHAM, WA, 98225","-122.47465,48.77223","183809170","L"
"190270","1700 W LINDBERG DRIVE, SLIDELL, LA, 70458","Match","Exact","1700 LINDBERG DR, SLIDELL, LA, 70458","-89.75458,30.274004","644952308","R"
"500037","502 W FOURTH AVE, TOPPENISH, WA, 98948","No_Match"
"500036","2811 TIETON DRIVE, YAKIMA, WA, 98902","Match","Non_Exact","2811 W TIETON DR, YAKIMA, WA, 98902","-120.54639,46.592705","184934328","R"
"520089","202 S PARK ST, MADISON, WI, 53715","Tie"
"430084","400 SOLDIER CREEK ROAD, ROSEBUD, SD, 57570","No_Match"
"520088","430 E DIVISON ST, FOND DU LAC, WI, 54935","No_Match"
"520087","1910 SOUTH AVE, LA CROSSE, WI, 54601","Match","Exact","1910 SOUTH AVE, LA CROSSE, WI, 54601","-91.24647,43.79504","640635203","R"
"100313","3801 E HWY 98, PORT SAINT JOE, FL, 32456","No_Match"
"190278","1500 LINE AVENUE, SHREVEPORT, LA, 71101","Match","Exact","1500 LINE AVE, SHREVEPORT, LA, 71101","-93.746056,32.49803","640238298","R"
"100314","9555 SW 162 AVE, MIAMI, FL, 33196","Match","Non_Exact","9555 SW 162ND AVE, MIAMI, FL, 33196","-80.45741,25.679214","641624884","R"
"100315","8745 N WICKHAM RD, VIERA, FL, 32940","No_Match"
"100316","1425 MALABAR RD, NE, PALM BAY, FL, 32907","Match","Exact","1425 MALABAR RD NE, PALM BAY, FL, 32907","-80.61626,27.998436","601721863","L"
"520083","700 SOUTH PARK ST, MADISON, WI, 53715","Match","Exact","700 S PARK ST, MADISON, WI, 53715","-89.40076,43.05984","49469598","R"
"180002","240 HOSPITAL ROAD, WHITESBURG, KY, 41858","Match","Exact","240 HOSPITAL RD, WHITESBURG, KY, 41858","-82.81305,37.113533","639475995","L"
"180001","85 NORTH GRAND AVENUE, FORT THOMAS, KY, 41075","Match","Exact","85 N GRAND AVE, FORT THOMAS, KY, 41075","-84.46514,39.078613","639473612","L"
